id,name,date,promoter,location,attendance,created_at,modified_at
1,One FC 10: Champions and Warriors,2013-09-13,OneFC,,,2019-04-01T19:56:24.477518,2019-04-01T19:56:24.477518
2,Legacy FC 45: Todhunter vs. Smith,2015-09-11,Legacy Fc,,,2019-04-01T19:56:28.403410,2019-04-01T19:56:28.403410
3,LFA 27: Watley vs. Wilson,2017-11-10,LFA,,,2019-04-01T19:56:32.488043,2019-04-01T19:56:32.488043
4,ONE FC 21: Roar of Tigers,2014-10-17,OneFC,,,2019-04-01T19:56:39.395144,2019-04-01T19:56:39.395144
5,One FC 8: Kings and Champions,2013-04-05,OneFC,,,2019-04-01T19:56:39.404131,2019-04-01T19:56:39.404131
6,K-1 Heros Korea,2007-10-28,K Heros Korea,,,2019-04-01T19:56:43.758044,2019-04-01T19:56:43.758044
7,EliteXC: Street Certified,2008-02-16,Elite,,,2019-04-01T19:56:43.793211,2019-04-01T19:56:43.793211
8,Legacy Fighting Championships 8,2011-09-16,Legacy Fighting Championships,,,2019-04-01T19:56:44.005996,2019-04-01T19:56:44.005996
9,LFA 15: Odoms vs. Vanderaa,2017-06-30,LFA,,,2019-04-01T19:56:44.035027,2019-04-01T19:56:44.035027
10,Legacy FC 54: Nunes vs. Lovato,2016-04-22,Legacy Fc,,,2019-04-01T19:57:04.522000,2019-04-01T19:57:04.522000
11,Bellator Fighting Championship 101: Warren vs. Kirk,2013-09-27,Bellator,,,2019-04-01T19:57:09.683933,2019-04-01T19:57:09.683933
12,ONE Championship 31: Odyssey of Champions,2015-09-27,OneFC,,,2019-04-01T19:57:11.639915,2019-04-01T19:57:11.639915
13,DREAM 5,2008-07-21,DREAM,,,2019-04-01T19:57:11.681855,2019-04-01T19:57:11.681855
14,WSOF 15: Branch vs. Okami,2014-11-15,WSOF,,,2019-04-01T19:57:27.526582,2019-04-01T19:57:27.526582
15,Bellator 207: Mitrione vs. Bader,2018-10-12,OneFC,,,2019-04-01T19:58:37.042370,2019-04-01T19:58:37.042370
16,ONE Championship 41: Global Rivals,2016-04-15,OneFC,,,2019-04-01T19:58:43.063655,2019-04-01T19:58:43.063655
21,Legacy FC 62: Lovato vs. Coleman,2016-11-11,Legacy Fc,,,2019-04-01T19:58:57.540048,2019-04-01T19:58:57.540048
23,One FC 14: War of Nations,2014-03-14,OneFC,,,2019-04-01T19:59:02.312493,2019-04-01T19:59:02.312493
24,Superior Challenge 6: Lion's Den,2010-10-29,Superior Challenge,,,2019-04-01T19:59:02.587118,2019-04-01T19:59:02.587118
31,Cage Warriors 73: Ray vs. Warburton,2014-11-01,Cage Warriors,,,2019-04-01T19:59:12.335527,2019-04-01T19:59:12.335527
32,CES MMA 39: O'Neil vs. Santiago,2016-11-04,CESMMA,,,2019-04-01T19:59:13.679621,2019-04-01T19:59:13.679621
33,ONE Championship 46: Titles and Titans,2016-08-27,OneFC,,,2019-04-01T19:59:19.295588,2019-04-01T19:59:19.295588
34,Superior Challenge 7: Rise of Champions,2011-04-30,Superior Challenge,,,2019-04-01T19:59:22.932104,2019-04-01T19:59:22.932104
35,ONE Championship 48: State of Warriors,2016-10-07,OneFC,,,2019-04-01T19:59:26.157334,2019-04-01T19:59:26.157334
37,ONE Championship 82: Pursuit of Greatness,2018-10-26,OneFC,,,2019-04-01T19:59:28.695243,2019-04-01T19:59:28.695243
39,ONE Championship 26: Valor of Champions,2015-04-24,OneFC,,,2019-04-01T19:59:37.442847,2019-04-01T19:59:37.442847
40,Bellator Fighting Championship 58,2011-11-19,Bellator,,,2019-04-01T19:59:44.048895,2019-04-01T19:59:44.048895
41,Bellator Fighting Championship 77,2012-10-19,Bellator,,,2019-04-01T20:00:02.074596,2019-04-01T20:00:02.074596
