id,name,nationality
111,Bertrand Amoussou,France
3227,Dave Zitanick,United States
2002,Jim Mullen,United States
2033,Mario Neto,Brazil
1667,Aaron Lanfranco,United States
2128,Alex Oliveira,Brazil
1084,Steven Graham,USA
2081,Reza Nasri,"Iran, Islamic Republic of"
3025,Bobby Voelker,United States
1064,Rodrigo Gripp de Sousa,Brazil
2001,Marcelo Mello,
3190,Rani Yahya,Brazil
89,Andre Amado,Brazil
3055,Vernon White,United States
855,Diego Ferreira,Brazil
694,Rodrigo de Lima,Brazil
1036,Jason Gilliam,United States
3088,Andre Walker,United States
3020,Egidijus Valavicius,Lithuania
1103,Jason Godsey,United States
3066,Cal Worsham,United States
70,Zu Anyanwu,United States
3151,Eric Wray,USA
3111,Carter Williams,United States
3113,Neil Wain,England
3159,Rubens Xavier,Brazil
3117,Brian Warren,United States
116,JJ Aldrich,United States
1506,Aleksei Kunchenko,Russia
3089,Erick Wanderlei,
3048,Dimitiri Wanderley,
574,Coltin Cole,United States
3076,Merritt Warren,United States
2916,Bryan Travers,United States
3038,Vitor Vianna,United States
3217,Carlos Zevallos,United States
888,Sam Fulton,United States
3155,Orlando Wiet,France
3161,Takeshi Yamazaki,Japan
1879,Lolohea Mahe,United States
3044,David Velasquez,United States
1875,Mike Minniger,United States
3197,Adam Yandiev,Russia
3043,Paul Varelans,United States
3067,Dominic Waters,United States
1574,Valmir Lazaro,Brazil
3037,Joe Vedepo,United States
3241,Mihail Nica,"Moldova, Republic of"
3219,Igor Zinoviev,Russia
1121,Luis Henrique,
3056,Cory Walmsley,United States
12,Mike Aina,United States
14,Royce Alger,
38,Mike Altman,United States
606,Cory Devela,United States
158,Justin Bruckmann,Canada
2254,Juan Puig,
307,Mike Bourke,United States
427,Renato Moicano,Brazil
1286,Dan Hooker,New Zealand
2961,Chris Tickle,United States
394,Ivan Cole,United States
545,Mike Campbell,United States
287,Gregory Bouchelaghem,France
499,Donnie Chappell,
549,Murad Chunkaiev,Russia
222,Rudy Bears,United States
783,Ben Earwood,
202,Todd Butler,USA
225,Amaury Bitetti,Brazil
1371,Roy Jones,
695,Houston Dorr,USA
3107,Karl Willis,United States
2580,Daniel Spohn,United States
825,Won Jin Eoh,South Korea
726,John Dowdy,United States
1821,Eric Magana,
2055,Roger Narvaez,United States
418,Chris Condo,
504,Nikolajus Cilkinas,Lithuania
3324,Alan Arzeno,United States
2966,Alberto Uda,Brazil
3336,Nick Mamalis,United States
2147,Wendell Oliveira,Brazil
376,Josh Bennett,USA
102,Alexandra Albu,Russia
3341,Alex Black,United States
3556,Aaron Chalmers,England
2000,Poppies Martinez,United States
3584,Jiri Prochazka,Czech Republic
3631,Ray Cooper Iii,United States
3527,Ashleigh Grimshaw,England
5444,Tywan Claxton,United States
5481,Brandon Shavers,United States
553,Tim Caron,United States
133,JJ Ambrose,
1026,David Gomez,United States
569,Rafael Carino,Brazil
1682,Michael Lerma,USA
2536,Adam Smith,
3082,Tom Watson,England
3517,Miles Marshall,United States
483,Larry Cureton,United States
598,John Campetella,USA
419,Mike Cook,
848,Claudionor Fontinelle,Brazil
679,Helio Dipp,Brazil
114,David Abbott,United States
935,Sean Gannon,United States
876,Keisuke Fujiwara,Japan
226,Jose Barreto,Brazil
293,Igor Borisov,Russia
465,Tim Catalfo,United States
900,Jan Finney,United States
3214,Yao Zhikui,China
463,Brandon Cash,United States
210,Carlos Barreto,Brazil
3045,Jacob Volkmann,United States
212,Marcus Bossett,United States
635,Crezio de Souza,Brazil
967,Ralph Gracie,Brazil
317,Mike Bencic,Croatia
62,Hiroyuki Abe,Japan
480,Jimmy Crute,Australia
1733,Bubba McDaniel,United States
2249,Robert Peralta,Dominican Republic
115,Bazigit Atajev,
509,Jadson Costa,
2337,Joe Ray,United States
264,Dave Berry,
84,Scott Adams,USA
98,Wes Albritton,
685,Raymond Daniels,United States
705,John Dixson,United States
119,Marcelo Aguiar,Brazil
404,Dwayne Cason,USA
3030,Luigi Vendramini,Italy
1040,Lance Gibson,Canada
254,Steve Byrnes,United States
2062,Kyle Noke,Australia
3331,Alexander Peduson,Russia
435,Joe Charles,United States
3120,Sai Wang,China
692,Ralph Dillon,
3493,Toby Imada,United States
3343,Artenas Young,United States
383,Wayne Cole,United States
733,Rick Davis,United States
973,Fabio Gurgel,Brazil
3413,Mansour Barnaoui,France
684,TJ Dillashaw,United States
3397,Ryan Ford,Canada
1222,Uriah Hall,United States
3575,Mariusz Pudzianowski,Poland
3435,Kevin Belingon,Philippines
3472,Jack Shore,Wales
