id,fighter1_id,fighter2_id,winner_id,event_id
2264,803,138,138.0,18
2272,3025,466,466.0,494
2280,3005,1671,1671.0,375
2292,2110,284,284.0,352
2310,1346,607,1346.0,826
2323,2447,2802,2802.0,454
2332,237,2365,2365.0,319
2365,3063,180,180.0,481
2409,891,23,891.0,1549
2448,788,2097,788.0,1498
2478,1571,1190,1571.0,545
2510,1946,2800,1946.0,150
2531,1228,2691,1228.0,547
2557,2796,1111,1111.0,230
6880,3502,3833,3502.0,1207
6899,1910,340,340.0,299
6932,3857,1110,1110.0,1293
6946,2353,2117,2353.0,834
6962,1412,2527,2527.0,863
6976,1117,222,1117.0,806
6989,3579,2733,3579.0,1087
7044,4885,3536,3536.0,970
7089,5349,152,5349.0,880
7107,577,5223,577.0,77
7156,3129,5065,3129.0,11
7169,5378,4256,5378.0,789
7260,2263,3500,3500.0,1024
7277,5255,4252,4252.0,484
7376,1438,819,819.0,457
7381,3841,2488,2488.0,823
7414,4981,3585,3585.0,56
7458,1423,3902,1423.0,1236
7487,1898,440,1898.0,1310
7500,4536,4537,4537.0,965
7549,3435,3430,3435.0,938
7564,2375,1053,1053.0,656
7586,2086,740,2086.0,362
7608,176,3538,3538.0,556
7684,3024,2800,3024.0,741
7726,4831,3792,3792.0,1381
2265,1465,1152,1465.0,1567
2278,389,417,417.0,866
2295,669,3146,3146.0,535
2304,1637,895,895.0,535
2322,2297,3192,2297.0,104
2339,2102,1387,2102.0,645
65,2154,353,353.0,698
36,583,1444,583.0,818
37,946,230,946.0,818
46,2261,2699,2261.0,1478
35,1785,2263,1785.0,1589
60,2093,2582,2582.0,1589
2383,2805,265,265.0,366
2410,1788,316,1788.0,392
2430,1262,363,363.0,230
2469,2247,136,136.0,281
2492,2891,1599,1599.0,261
2518,2331,2749,2331.0,67
2540,1595,1523,1523.0,230
2572,1671,839,839.0,281
6881,3502,4372,3502.0,746
6895,4176,4177,4177.0,1467
6990,4775,110,110.0,1303
6996,1912,2595,1912.0,293
7000,1980,1693,1693.0,131
7021,595,1695,1695.0,943
7033,4970,3337,4970.0,189
7100,3125,3270,3270.0,1326
7130,4289,2453,2453.0,1535
7146,2661,3129,3129.0,768
7171,2065,4776,4776.0,1303
7178,3340,327,327.0,310
7231,58,617,617.0,157
7257,3763,3764,3764.0,742
7258,4718,4719,,1256
7340,263,2672,263.0,306
7363,2072,198,198.0,252
7370,4504,4505,4504.0,1218
7396,1033,3498,1033.0,1459
7490,2247,3270,3270.0,620
7535,91,1572,91.0,1096
7578,3802,4939,3802.0,1398
7598,1120,1170,1170.0,517
7640,4086,4208,4086.0,1077
7649,425,3397,3397.0,961
7664,1993,607,607.0,797
7716,4950,4951,4950.0,1438
2266,2860,684,684.0,494
2287,1464,2728,1464.0,599
38,1445,2260,1445.0,19
81,855,2088,855.0,811
2303,670,982,670.0,535
2313,353,762,353.0,826
2337,534,1263,534.0,355
2369,1532,79,1532.0,366
2396,1264,2796,2796.0,1549
2416,1671,336,1671.0,264
2446,1980,998,998.0,1498
2477,837,2692,2692.0,1056
2519,3029,2555,2555.0,725
2548,2950,2686,2686.0,230
6884,4018,2527,4018.0,42
6902,2945,2707,2707.0,740
6928,3005,1270,3005.0,703
6936,3442,2411,3442.0,1317
7030,4970,5160,4970.0,207
7049,2219,4200,4200.0,5
7070,3274,3100,3100.0,398
7073,59,5292,59.0,349
7111,446,5498,446.0,713
7199,3127,4628,3127.0,907
7216,907,197,197.0,965
7222,1545,1503,1503.0,1411
7242,1186,4623,1186.0,1573
7309,4105,4312,4312.0,615
7328,1050,1162,1050.0,507
